Multi+AC0-Threaded+ADs-Single+AC0-Threaded
0,1+ADs-0,7
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0,0055555556+ADs-0
0+ADs-0
0+ADs-0
0,0333333333+ADs-0,0166666667
0,05+ADs-0,0416666667
0,2333333333+ADs-0,2333333333
0,0958333333+ADs-0,0833333333
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0,05+ADs-0,0666666667
0+ADs-0
0,0333333333+ADs-0,0555555556
0,0333333333+ADs-0,0333333333
0,15+ADs-0,2
0+ADs-0
0,4166666667+ADs-0,4666666667
0,1333333333+ADs-0,1583333333
0+ADs-0
0+ADs-0
0+ADs-0
0+ADs-0
0,025+ADs-0,0333333333
0+ADs-0
0+ADs-0
0,05+ADs-0,05
0,0166666667+ADs-0,0458333333
0,1583333333+ADs-0,2333333333
0+ADs-0
0+ADs-0
0,225+ADs-0,275
0+ADs-0
0,9+ADs-1,2166666667
0+ADs-0
0,2958333333+ADs-0,4375
0+ADs-0
0,2+ADs-0,3166666667
0+ADs-0
0+ADs-0
0,0833333333+ADs-0,15
0+ADs-0
0,1166666667+ADs-0,1888888889
0,0166666667+ADs-0,0833333333
0,325+ADs-0,4916666667
0,0388888889+ADs-0,0888888889
0,0166666667+ADs-0
1,0833333333+ADs-1,5166666667
0,1166666667+ADs-0,3166666667
0,4555555556+ADs-0,7222222222
0+ADs-0
0+ADs-0
0,2333333333+ADs-0,4
0,1166666667+ADs-0,2833333333
0+ADs-0
0,2833333333+ADs-0,4583333333
0,1416666667+ADs-0,1833333333
0,4+ADs-0,5833333333
0,0666666667+ADs-0,1
0,3333333333+ADs-0,6833333333
1,1333333333+ADs-2
0,0166666667+ADs-0,0166666667
0,1833333333+ADs-0,3333333333
0,5041666667+ADs-0,8916666667
0+ADs-0
0,4222222222+ADs-0,7111111111
0,1666666667+ADs-0,3333333333
0,1+ADs-0,1
